time,vx,vy
0,0.6,-0.6
0.01,0.6,-0.7
0.02,0.7,-1
0.03,0.8,-1.2
0.04,0.7,-1.6
0.05,0.6,-1.9
0.06,0.4,-2.2
0.07,0.3,-2.3
0.08,0,-2.5
0.09,-0.2,-2.5
0.1,-0.2,-2.5
0.11,-0.3,-2.6
0.12,-0.3,-2.8
0.13,-0.5,-3
0.14,-0.7,-3.3
0.15,-1.1,-3.5
0.16,-1.8,-3.6
0.17,-2.6,-3.6
0.18,-3.3,-3.4
0.19,-3.9,-3
0.2,-4.3,-2.6
0.21,-4.1,-2
0.22,-3.6,-1.5
0.23,-2.7,-1
0.24,-1.9,-0.8
0.25,-1,-0.7
0.26,-0.5,-0.6
0.27,-0.3,-0.7
0.28,-0.5,-0.7
0.29,-0.9,-0.8
0.3,-1.5,-0.8
0.31,-1.9,-0.7
0.32,-2.4,-0.6
0.33,-2.6,-0.4
0.34,-2.6,-0.3
0.35,-2.6,-0.1
0.36,-2.4,0
0.37,-2.2,0
0.38,-2,0.2
0.39,-1.9,0.2
0.4,-1.8,0.3
0.41,-1.6,0.3
0.42,-1.6,0.4
0.43,-1.4,0.3
0.44,-1.2,0.3
0.45,-0.9,0.2
0.46,-0.7,0.3
0.47,-0.3,0.3
0.48,-0.2,0.3
0.49,0,0.4
0.5,0,0.4
0.51,0,0.3
0.52,0,0.4
0.53,-0.1,0.3
0.54,-0.2,0.3
0.55,-0.1,0.2
0.56,-0.2,0.2
0.57,-0.1,0.2
0.58,-0.3,0.1
0.59,-0.3,0.1
0.6,-0.5,0.2
0.61,-0.7,0.3
0.62,-0.8,0.4
0.63,-1,0.5
0.64,-1.1,0.7
0.65,-1.1,0.8
0.66,-1.1,0.9
0.67,-0.9,1.1
0.68,-0.8,1
0.69,-0.7,1
0.7,-0.5,0.9
0.71,-0.5,0.7
0.72,-0.6,0.5
0.73,-0.6,0.4
0.74,-0.8,0.1
0.75,-0.9,0.1
0.76,-1.1,0
0.77,-1,-0.1
0.78,-1.1,0.1
0.79,-1.1,0.1
0.8,-1.1,0.3
0.81,-1.3,0.4
0.82,-1.3,0.5
0.83,-1.5,0.6
0.84,-1.5,0.7
0.85,-1.6,0.8
0.86,-1.4,0.9
0.87,-1.3,0.9
0.88,-1,1
0.89,-0.8,0.9
0.9,-0.5,0.8
0.91,-0.2,0.6
0.92,0.2,0.2
0.93,0.6,0
0.94,1,-0.3
0.95,1.3,-0.4
0.96,1.5,-0.5
0.97,1.8,-0.4
0.98,2,-0.2
0.99,2,-0.2
1,2,0
1.01,1.9,0.1
1.02,1.9,0
1.03,1.6,-0.1
1.04,1.5,-0.3
1.05,1.4,-0.6
1.06,1.2,-0.7
1.07,1.2,-0.8
1.08,1.2,-0.9
1.09,1.2,-1
1.1,1.2,-0.9
1.11,1.3,-0.9
1.12,1.3,-0.8
1.13,1.4,-0.7
1.14,1.4,-0.7
1.15,1.4,-0.6
1.16,1.5,-0.7
1.17,1.4,-0.7
1.18,1.2,-0.8
1.19,1.1,-0.8
1.2,0.9,-0.8
1.21,0.7,-0.7
1.22,0.5,-0.5
1.23,0.4,-0.3
1.24,0.3,-0.1
1.25,0.2,0.2
1.26,0,0.4
1.27,0,0.7
1.28,-0.1,0.7
1.29,-0.2,0.7
1.3,-0.1,0.7
1.31,-0.2,0.6
1.32,0,0.4
1.33,-0.1,0.1
1.34,0.1,0
1.35,0.3,-0.2
1.36,0.3,-0.3
1.37,0.4,-0.2
1.38,0.4,-0.2
1.39,0.5,-0.2
1.4,0.3,-0.1
1.41,0.2,-0.1
1.42,0.2,-0.2
1.43,0,-0.2
1.44,-0.1,-0.3
1.45,-0.2,-0.3
1.46,-0.3,-0.3
1.47,-0.4,-0.3
1.48,-0.5,-0.2
1.49,-0.7,-0.1
1.5,-0.7,0
1.51,-0.8,0.3
1.52,-0.7,0.3
1.53,-0.8,0.5
1.54,-0.8,0.4
1.55,-0.8,0.3
1.56,-1,0.2
1.57,-1.2,0.1
1.58,-1.3,0.1
1.59,-1.6,0.2
1.6,-1.6,0.3
1.61,-1.7,0.5
1.62,-1.4,0.6
1.63,-1.3,0.6
1.64,-1,0.5
1.65,-0.7,0.3
1.66,-0.5,0
1.67,-0.3,-0.2
1.68,-0.1,-0.3
1.69,-0.1,-0.3
1.7,-0.1,-0.3
1.71,-0.2,0
1.72,-0.2,0.3
1.73,-0.2,0.5
1.74,-0.2,0.6
1.75,-0.3,0.8
1.76,-0.1,0.7
1.77,0,0.6
1.78,0.2,0.5
1.79,0.3,0.5
1.8,0.4,0.3
1.81,0.6,0.3
1.82,0.8,0.3
1.83,1,0.2
1.84,1.1,0.1
1.85,1.2,0.1
1.86,1.2,0.1
1.87,1,0.1
1.88,0.7,0.2
1.89,0.5,0.4
1.9,0.2,0.6
1.91,0.2,0.9
1.92,0.2,1
1.93,0.5,1.2
1.94,0.7,1.2
1.95,1.1,1
1.96,1.4,0.9
1.97,1.3,0.6
1.98,1.2,0.5
1.99,0.9,0.6
2,0.5,0.7
2.01,0.2,1
2.02,0,1.5
2.03,-0.1,1.7
2.04,-0.1,2.1
2.05,-0.1,2.3
2.06,-0.1,2.5
2.07,-0.2,2.4
2.08,-0.4,2.3
2.09,-0.5,2.1
2.1,-0.7,1.7
2.11,-0.8,1.2
2.12,-0.9,0.8
2.13,-0.9,0.4
2.14,-1,0
2.15,-0.8,-0.2
2.16,-0.8,-0.4
