time,vx,vy
0,-1.9,-1.5
0.01,-2,-1.3
0.02,-2,-1.2
0.03,-2,-1
0.04,-1.9,-0.7
0.05,-1.9,-0.5
0.06,-1.7,-0.3
0.07,-1.7,-0.1
0.08,-1.7,0
0.09,-1.7,0.2
0.1,-1.9,0.1
0.11,-2.1,0.2
0.12,-2.3,0.1
0.13,-2.6,0
0.14,-2.7,-0.1
0.15,-2.7,-0.1
0.16,-2.5,-0.2
0.17,-2.3,-0.1
0.18,-2,-0.2
0.19,-1.7,-0.1
0.2,-1.5,-0.2
0.21,-1.2,-0.4
0.22,-1.1,-0.5
0.23,-1.1,-0.7
0.24,-1,-0.9
0.25,-1.1,-1.1
0.26,-1,-1.2
0.27,-0.9,-1
0.28,-0.9,-0.9
0.29,-0.7,-0.6
0.3,-0.5,-0.2
0.31,-0.3,0.1
0.32,-0.1,0.4
0.33,0,0.4
0.34,0.1,0.6
0.35,0.2,0.6
0.36,0.2,0.6
0.37,0.1,0.7
0.38,0.2,0.8
0.39,0.2,1
0.4,0.2,1.3
0.41,0.3,1.5
0.42,0.6,1.8
0.43,0.8,2.1
0.44,1.1,2.3
0.45,1.4,2.3
0.46,1.5,2.3
0.47,1.7,2.2
0.48,1.7,2.1
0.49,1.8,2
0.5,1.7,1.9
0.51,1.7,2
0.52,1.8,2
0.53,1.8,2.1
0.54,1.8,2.3
0.55,1.7,2.5
0.56,1.6,2.7
0.57,1.4,2.7
0.58,1.3,2.8
0.59,1.2,2.6
0.6,1.3,2.6
0.61,1.3,2.5
0.62,1.5,2.5
0.63,1.5,2.5
0.64,1.6,2.4
0.65,1.5,2.5
0.66,1.3,2.5
0.67,1,2.4
0.68,0.7,2.3
0.69,0.5,2.2
0.7,0.2,2.1
0.71,0.1,2
0.72,0,1.9
0.73,0,1.7
0.74,0.2,1.7
0.75,0.3,1.5
0.76,0.3,1.5
0.77,0.3,1.5
0.78,0.3,1.4
0.79,0,1.4
0.8,-0.3,1.5
0.81,-0.7,1.4
0.82,-0.9,1.6
0.83,-1,1.5
0.84,-1.2,1.7
0.85,-1.1,1.6
0.86,-1.1,1.7
0.87,-1,1.6
0.88,-1,1.7
0.89,-1,1.7
0.9,-1.2,1.7
0.91,-1.3,1.8
0.92,-1.4,1.8
0.93,-1.3,2.1
0.94,-1.3,2.1
0.95,-1.2,2.4
0.96,-1,2.5
0.97,-0.9,2.7
0.98,-0.7,2.8
0.99,-0.6,2.9
1,-0.5,2.9
1.01,-0.4,2.7
1.02,-0.2,2.4
1.03,0,2.2
1.04,0.2,1.8
1.05,0.4,1.6
1.06,0.5,1.4
1.07,0.7,1.4
1.08,0.7,1.4
1.09,0.6,1.5
1.1,0.7,1.6
1.11,0.8,1.6
1.12,0.8,1.6
1.13,1,1.5
1.14,1.3,1.4
1.15,1.5,1.1
1.16,1.6,0.8
1.17,1.8,0.6
1.18,1.9,0.3
1.19,1.9,0.1
1.2,1.9,-0.1
1.21,1.9,-0.4
1.22,2,-0.6
1.23,2,-0.9
1.24,1.9,-1.3
1.25,1.9,-1.8
1.26,1.8,-2.2
1.27,1.6,-2.6
1.28,1.5,-2.9
1.29,1.4,-3.1
1.3,1.4,-3.1
1.31,1.5,-3
1.32,1.6,-3
1.33,1.8,-2.9
1.34,2,-2.9
1.35,2.1,-2.8
1.36,2.2,-3
1.37,2.2,-2.9
1.38,2.2,-3
1.39,2.2,-2.9
1.4,2.1,-2.7
1.41,2.2,-2.5
1.42,2.1,-2.3
1.43,2,-2.1
1.44,1.9,-1.9
1.45,1.7,-1.7
1.46,1.4,-1.6
1.47,1.2,-1.5
1.48,0.9,-1.3
1.49,0.8,-1.1
1.5,0.7,-1.1
1.51,0.6,-0.8
1.52,0.6,-0.8
1.53,0.6,-0.7
1.54,0.7,-0.6
1.55,0.7,-0.4
1.56,0.8,-0.2
1.57,0.8,0.1
1.58,0.9,0.4
1.59,1,0.7
1.6,1,0.9
1.61,1,0.9
1.62,1.1,0.9
1.63,1.2,0.7
1.64,1.1,0.6
1.65,1.2,0.5
1.66,1.3,0.4
1.67,1.5,0.4
1.68,1.5,0.5
1.69,1.6,0.5
1.7,1.6,0.7
1.71,1.7,0.8
1.72,1.6,0.8
1.73,1.6,0.8
1.74,1.5,0.9
1.75,1.5,0.7
1.76,1.6,0.8
1.77,1.5,0.9
1.78,1.5,1.1
1.79,1.4,1.3
1.8,1.4,1.7
1.81,1.3,2
1.82,1.1,2.2
1.83,1.1,2.3
1.84,0.9,2.4
1.85,0.6,2.2
1.86,0.5,2
1.87,0.2,1.8
1.88,-0.1,1.6
1.89,-0.5,1.5
1.9,-0.7,1.5
1.91,-0.9,1.6
1.92,-1,1.8
1.93,-1.1,1.8
1.94,-1.1,2
1.95,-1.2,2
1.96,-1.1,1.9
1.97,-1.3,1.8
1.98,-1.4,1.6
1.99,-1.6,1.6
2,-1.8,1.5
2.01,-1.9,1.7
2.02,-1.8,1.7
2.03,-1.7,1.9
2.04,-1.3,2
2.05,-1,1.9
2.06,-0.7,1.7
2.07,-0.5,1.6
2.08,-0.4,1.3
2.09,-0.5,1
2.1,-0.7,1
2.11,-0.8,0.7
2.12,-1,0.7
2.13,-1.2,0.6
2.14,-1.2,0.5
2.15,-1.1,0.4
2.16,-0.8,0.4
2.17,-0.5,0.3
2.18,-0.2,0.3
2.19,0.2,0.2
2.2,0.5,0.1
2.21,0.7,-0.1
2.22,0.8,-0.3
2.23,0.8,-0.4
2.24,0.8,-0.4
2.25,0.7,-0.6
2.26,0.6,-0.5
2.27,0.6,-0.5
2.28,0.6,-0.5
2.29,0.5,-0.7
2.3,0.4,-0.8
2.31,0.4,-1.1
2.32,0.4,-1.3
2.33,0.5,-1.5
2.34,0.6,-1.6
2.35,0.9,-1.6
2.36,1.1,-1.6
2.37,1.2,-1.6
2.38,1.4,-1.4
2.39,1.3,-1.4
2.4,1.2,-1.3
2.41,1,-1.2
2.42,1,-1.2
2.43,0.9,-1
2.44,0.9,-1
2.45,1.1,-0.9
2.46,1.2,-0.8
2.47,1.4,-0.8
2.48,1.5,-0.9
2.49,1.7,-1
2.5,1.8,-1
2.51,1.8,-1.1
2.52,1.8,-1.1
2.53,1.8,-1.1
2.54,1.6,-1.2
2.55,1.6,-1
2.56,1.5,-1.1
2.57,1.4,-1
2.58,1.3,-1
2.59,1.2,-1.1
2.6,1.1,-1.2
2.61,1,-1.4
2.62,0.9,-1.5
2.63,0.8,-1.7
2.64,0.6,-1.8
2.65,0.6,-1.7
2.66,0.4,-1.8
2.67,0.1,-1.6
2.68,-0.1,-1.6
